Overall,all,0,0,0
Incline Dumbbell Press,chest,12,10,8,3
Barbell Bench Press,chest,12,10,8,2
Low to High Cable Fly,chest,12,10,8,2
Flat Dumbbell Bench Press,chest,12,10,8,1
Incline Dumbbell Bench Press,chest,12,10,8,1
Decline Smith Machine Press,chest,12,10,8,1
T-bar Row,back,20,20,16,3
Barbell Deadlift,back,12,10,8,3
Straight Arm Pushdown,back,12,12,12,3
Barbell Cheat Curls,back,8,8,8,3
Barbell Bent Over Row,back,12,10,8,2
Pull Ups,back,12,10,8,2
One Arm Row,back,12,10,8,2
Lat Pulldown,back,12,10,8,1
Seated Rows,back,12,10,8,1
Back Extensions,back,12,10,8,1
Single arm DB row,back,12,10,8
Barbell Squat,legs,12,10,8,2
Hamstring Curls,legs,12,10,8,2
Bulgarian Split Squats,legs,12,10,8,2
Goblet Squat,legs,12,10,8,1
Dumbbell Lunges,legs,12,10,8,1
Hamstring Curls,legs,12,10,8,1
Bench Squat,legs,12,10,8
Dead Lift,legs,12,10,8
Cheat Dumbbell Lateral Raises,shoulders,12,10,8,3
Cable Front Raises,shoulders,12,12,12,3
Barbell Overhead Press,shoulders,12,10,8,2
Cable Lateral Raises,shoulders,12,10,8,2
Seated Dumbbell Shoulder Press,shoulders,12,10,8,1
Dumbbell Lateral Raises,shoulders,12,10,8,1
Dumbbell Front Raises,shoulders,12,10,8,1
Face pulls,shoulders,12,10,8,1
Chin Ups OR Neutral Grip Pull Ups,biceps,12,10,8,3
Incline Dumbbell Curl,biceps,12,12,12,3
Barbell Squat,biceps,6,6,6,3
Dumbbell Curls,biceps,12,10,8,2
Chin Ups,biceps,12,10,8,1
Barbell Curls,biceps,12,10,8,1
Hammer Curl,biceps,12,10,8,1
Incline Dumbbell Skullcrushers,triceps,12,12,12,3
Close Grip Bench OR Weighted Dips,triceps,12,10,8,3
Overhead Rope Extensions,triceps,12,10,8,2
Dumbbell Skullcrushers,triceps,12,10,8,2
Rope Pushdowns,triceps,12,10,8,1
Bench Dips,triceps,12,10,8,1
Overhead Dumbbell French Press,triceps,12,10,8,1
V-bar Extension,triceps,12,10,8
